index,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,frozenset({'whole milk'}),frozenset({'bottled beer'}),0.4581836839404823,0.15879938429964083,0.08542842483324782,0.1864501679731243,1.174123997995539,0.012669137927357993,1.033987818059767
1,frozenset({'bottled beer'}),frozenset({'whole milk'}),0.15879938429964083,0.4581836839404823,0.08542842483324782,0.5379644588045235,1.174123997995539,0.012669137927357993,1.1726723763665787
2,frozenset({'bottled water'}),frozenset({'other vegetables'}),0.21369933299127758,0.3766033863519754,0.09389430477167779,0.43937575030012005,1.1666802960966403,0.013414412306004236,1.1119686920102883
3,frozenset({'other vegetables'}),frozenset({'bottled water'}),0.3766033863519754,0.21369933299127758,0.09389430477167779,0.24931880108991827,1.1666802960966403,0.013414412306004236,1.0474495273764108
4,frozenset({'soda'}),frozenset({'bottled water'}),0.3134940995382247,0.21369933299127758,0.07619291944586967,0.2430441898527005,1.1373184298269226,0.009199439477849874,1.0387669352266582
5,frozenset({'bottled water'}),frozenset({'soda'}),0.21369933299127758,0.3134940995382247,0.07619291944586967,0.3565426170468187,1.1373184298269226,0.009199439477849874,1.066901893814662
6,frozenset({'whole milk'}),frozenset({'bottled water'}),0.4581836839404823,0.21369933299127758,0.11236531554643407,0.24524076147816348,1.1475972247801696,0.014451767900866663,1.0417900528765418
7,frozenset({'bottled water'}),frozenset({'whole milk'}),0.21369933299127758,0.4581836839404823,0.11236531554643407,0.5258103241296519,1.1475972247801696,0.014451767900866663,1.1426151677913374
8,frozenset({'whole milk'}),frozenset({'canned beer'}),0.4581836839404823,0.16521292970754234,0.08722421754746024,0.19036954087346025,1.1522678110632734,0.011526348779458531,1.0310717202920674
9,frozenset({'canned beer'}),frozenset({'whole milk'}),0.16521292970754234,0.4581836839404823,0.08722421754746024,0.5279503105590062,1.1522678110632734,0.011526348779458531,1.1477950905997678
10,frozenset({'citrus fruit'}),frozenset({'other vegetables'}),0.18547973319651104,0.3766033863519754,0.07747562852744998,0.41770401106500693,1.1091350375554476,0.007623332905983021,1.0705837331770116
11,frozenset({'other vegetables'}),frozenset({'citrus fruit'}),0.3766033863519754,0.18547973319651104,0.07747562852744998,0.20572207084468666,1.1091350375554476,0.007623332905983021,1.0254852072620255
12,frozenset({'rolls/buns'}),frozenset({'citrus fruit'}),0.3496664956387891,0.18547973319651104,0.07183170856849666,0.20542920029347028,1.107556048055252,0.006975660249655069,1.0251072240564687
13,frozenset({'citrus fruit'}),frozenset({'rolls/buns'}),0.18547973319651104,0.3496664956387891,0.07183170856849666,0.38727524204702624,1.107556048055252,0.006975660249655069,1.061379511632405
14,frozenset({'whole milk'}),frozenset({'domestic eggs'}),0.4581836839404823,0.1331452026680349,0.07029245767060031,0.15341545352743563,1.1522416914257112,0.009287498213157955,1.0239435635151388
15,frozenset({'domestic eggs'}),frozenset({'whole milk'}),0.1331452026680349,0.4581836839404823,0.07029245767060031,0.5279383429672447,1.152241691425711,0.009287498213157955,1.1477659919791416
16,frozenset({'whole milk'}),frozenset({'newspapers'}),0.4581836839404823,0.13981528989225245,0.07234479220112879,0.15789473684210525,1.1293095123128922,0.008283707607090074,1.0214693432529502
17,frozenset({'newspapers'}),frozenset({'whole milk'}),0.13981528989225245,0.4581836839404823,0.07234479220112879,0.5174311926605504,1.129309512312892,0.008283707607090074,1.1227752557126887
18,frozenset({'other vegetables'}),frozenset({'pip fruit'}),0.3766033863519754,0.17060030785017957,0.07234479220112879,0.19209809264305178,1.1260125791317532,0.008096138552061663,1.0266093997267591
19,frozenset({'pip fruit'}),frozenset({'other vegetables'}),0.17060030785017957,0.3766033863519754,0.07234479220112879,0.42406015037593986,1.126012579131753,0.008096138552061663,1.0823988200416093
20,frozenset({'rolls/buns'}),frozenset({'other vegetables'}),0.3496664956387891,0.3766033863519754,0.14674191893278604,0.41966250917094644,1.1143354637250336,0.01505633258138983,1.074196693302475
21,frozenset({'other vegetables'}),frozenset({'rolls/buns'}),0.3766033863519754,0.3496664956387891,0.14674191893278604,0.3896457765667575,1.1143354637250336,0.01505633258138983,1.065501768306091
22,frozenset({'sausage'}),frozenset({'other vegetables'}),0.2060030785017958,0.3766033863519754,0.09286813750641354,0.4508094645080946,1.1970403900902948,0.015286680543705425,1.1351190039894872
23,frozenset({'other vegetables'}),frozenset({'sausage'}),0.3766033863519754,0.2060030785017958,0.09286813750641354,0.24659400544959126,1.1970403900902946,0.015286680543705425,1.053876564881884
24,frozenset({'shopping bags'}),frozenset({'other vegetables'}),0.16829143150333503,0.3766033863519754,0.07311441765007697,0.4344512195121952,1.1536041237455972,0.009735294651899484,1.102286195560928
25,frozenset({'other vegetables'}),frozenset({'shopping bags'}),0.3766033863519754,0.16829143150333503,0.07311441765007697,0.194141689373297,1.1536041237455972,0.009735294651899484,1.0320779193179241
26,frozenset({'whole milk'}),frozenset({'other vegetables'}),0.4581836839404823,0.3766033863519754,0.1913801949717804,0.4176931690929451,1.1091062487222754,0.01882666802857158,1.0705637999763191
27,frozenset({'other vegetables'}),frozenset({'whole milk'}),0.3766033863519754,0.4581836839404823,0.1913801949717804,0.5081743869209809,1.1091062487222754,0.01882666802857158,1.1016431467802936
28,frozenset({'yogurt'}),frozenset({'other vegetables'}),0.28296562339661363,0.3766033863519754,0.12031811185223192,0.4252039891205803,1.1290498294223583,0.013752299859869463,1.0845527836810274
29,frozenset({'other vegetables'}),frozenset({'yogurt'}),0.3766033863519754,0.28296562339661363,0.12031811185223192,0.3194822888283379,1.1290498294223583,0.013752299859869463,1.05366012497875
30,frozenset({'whole milk'}),frozenset({'pastry'}),0.4581836839404823,0.1775269368907132,0.09107234479220112,0.19876819708846583,1.119650913657283,0.00973239884894464,1.0265107552153643
31,frozenset({'pastry'}),frozenset({'whole milk'}),0.1775269368907132,0.4581836839404823,0.09107234479220112,0.5130057803468208,1.119650913657283,0.00973239884894464,1.11257237600352
32,frozenset({'whole milk'}),frozenset({'pip fruit'}),0.4581836839404823,0.17060030785017957,0.08696767573114418,0.18980963045912655,1.1125984053077824,0.008801398198968524,1.023709640759903
33,frozenset({'pip fruit'}),frozenset({'whole milk'}),0.17060030785017957,0.4581836839404823,0.08696767573114418,0.5097744360902257,1.1125984053077824,0.008801398198968524,1.1052388042318386
34,frozenset({'rolls/buns'}),frozenset({'root vegetables'}),0.3496664956387891,0.23063109286813752,0.09081580297588507,0.25972120322817316,1.12613264759001,0.010171836947339294,1.039296155025499
35,frozenset({'root vegetables'}),frozenset({'rolls/buns'}),0.23063109286813752,0.3496664956387891,0.09081580297588507,0.39377085650723026,1.12613264759001,0.010171836947339294,1.0727519640747312
36,frozenset({'rolls/buns'}),frozenset({'sausage'}),0.3496664956387891,0.2060030785017958,0.0823499230374551,0.235509904622157,1.1432348794734346,0.010317548486929784,1.038596740884887
