index,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,frozenset({'whole milk'}),frozenset({'bottled beer'}),0.4581836839404823,0.15879938429964083,0.08542842483324782,0.1864501679731243,1.174123997995539,0.012669137927357993,1.033987818059767
1,frozenset({'bottled beer'}),frozenset({'whole milk'}),0.15879938429964083,0.4581836839404823,0.08542842483324782,0.5379644588045235,1.174123997995539,0.012669137927357993,1.1726723763665787
2,frozenset({'bottled water'}),frozenset({'other vegetables'}),0.21369933299127758,0.3766033863519754,0.09389430477167779,0.43937575030012005,1.1666802960966403,0.013414412306004236,1.1119686920102883
3,frozenset({'other vegetables'}),frozenset({'bottled water'}),0.3766033863519754,0.21369933299127758,0.09389430477167779,0.24931880108991827,1.1666802960966403,0.013414412306004236,1.0474495273764108
4,frozenset({'rolls/buns'}),frozenset({'bottled water'}),0.3496664956387891,0.21369933299127758,0.0792714212416624,0.22670579603815116,1.0608633768988154,0.004547924354255689,1.0168195532570101
5,frozenset({'bottled water'}),frozenset({'rolls/buns'}),0.21369933299127758,0.3496664956387891,0.0792714212416624,0.3709483793517407,1.0608633768988154,0.004547924354255689,1.0338316968184897
6,frozenset({'soda'}),frozenset({'bottled water'}),0.3134940995382247,0.21369933299127758,0.07619291944586967,0.2430441898527005,1.1373184298269226,0.009199439477849874,1.0387669352266582
7,frozenset({'bottled water'}),frozenset({'soda'}),0.21369933299127758,0.3134940995382247,0.07619291944586967,0.3565426170468187,1.1373184298269226,0.009199439477849874,1.066901893814662
8,frozenset({'whole milk'}),frozenset({'bottled water'}),0.4581836839404823,0.21369933299127758,0.11236531554643407,0.24524076147816348,1.1475972247801696,0.014451767900866663,1.0417900528765418
9,frozenset({'bottled water'}),frozenset({'whole milk'}),0.21369933299127758,0.4581836839404823,0.11236531554643407,0.5258103241296519,1.1475972247801696,0.014451767900866663,1.1426151677913374
10,frozenset({'whole milk'}),frozenset({'canned beer'}),0.4581836839404823,0.16521292970754234,0.08722421754746024,0.19036954087346025,1.1522678110632734,0.011526348779458531,1.0310717202920674
11,frozenset({'canned beer'}),frozenset({'whole milk'}),0.16521292970754234,0.4581836839404823,0.08722421754746024,0.5279503105590062,1.1522678110632734,0.011526348779458531,1.1477950905997678
12,frozenset({'citrus fruit'}),frozenset({'other vegetables'}),0.18547973319651104,0.3766033863519754,0.07747562852744998,0.41770401106500693,1.1091350375554476,0.007623332905983021,1.0705837331770116
13,frozenset({'other vegetables'}),frozenset({'citrus fruit'}),0.3766033863519754,0.18547973319651104,0.07747562852744998,0.20572207084468666,1.1091350375554476,0.007623332905983021,1.0254852072620255
14,frozenset({'rolls/buns'}),frozenset({'citrus fruit'}),0.3496664956387891,0.18547973319651104,0.07183170856849666,0.20542920029347028,1.107556048055252,0.006975660249655069,1.0251072240564687
15,frozenset({'citrus fruit'}),frozenset({'rolls/buns'}),0.18547973319651104,0.3496664956387891,0.07183170856849666,0.38727524204702624,1.107556048055252,0.006975660249655069,1.061379511632405
16,frozenset({'whole milk'}),frozenset({'citrus fruit'}),0.4581836839404823,0.18547973319651104,0.09235505387378143,0.20156774916013437,1.0867373253474464,0.007371266421506234,1.0201495066697275
17,frozenset({'citrus fruit'}),frozenset({'whole milk'}),0.18547973319651104,0.4581836839404823,0.09235505387378143,0.4979253112033195,1.0867373253474464,0.007371266421506234,1.0791548113251552
18,frozenset({'whole milk'}),frozenset({'domestic eggs'}),0.4581836839404823,0.1331452026680349,0.07029245767060031,0.15341545352743563,1.1522416914257112,0.009287498213157955,1.0239435635151388
19,frozenset({'domestic eggs'}),frozenset({'whole milk'}),0.1331452026680349,0.4581836839404823,0.07029245767060031,0.5279383429672447,1.152241691425711,0.009287498213157955,1.1477659919791416
20,frozenset({'whole milk'}),frozenset({'newspapers'}),0.4581836839404823,0.13981528989225245,0.07234479220112879,0.15789473684210525,1.1293095123128922,0.008283707607090074,1.0214693432529502
21,frozenset({'newspapers'}),frozenset({'whole milk'}),0.13981528989225245,0.4581836839404823,0.07234479220112879,0.5174311926605504,1.129309512312892,0.008283707607090074,1.1227752557126887
22,frozenset({'other vegetables'}),frozenset({'pastry'}),0.3766033863519754,0.1775269368907132,0.0715751667521806,0.19005449591280654,1.0705670882487281,0.004717921150444587,1.0154671628632743
23,frozenset({'pastry'}),frozenset({'other vegetables'}),0.1775269368907132,0.3766033863519754,0.0715751667521806,0.4031791907514451,1.0705670882487281,0.004717921150444587,1.044528950712913
24,frozenset({'other vegetables'}),frozenset({'pip fruit'}),0.3766033863519754,0.17060030785017957,0.07234479220112879,0.19209809264305178,1.1260125791317532,0.008096138552061663,1.0266093997267591
25,frozenset({'pip fruit'}),frozenset({'other vegetables'}),0.17060030785017957,0.3766033863519754,0.07234479220112879,0.42406015037593986,1.126012579131753,0.008096138552061663,1.0823988200416093
26,frozenset({'rolls/buns'}),frozenset({'other vegetables'}),0.3496664956387891,0.3766033863519754,0.14674191893278604,0.41966250917094644,1.1143354637250336,0.01505633258138983,1.074196693302475
27,frozenset({'other vegetables'}),frozenset({'rolls/buns'}),0.3766033863519754,0.3496664956387891,0.14674191893278604,0.3896457765667575,1.1143354637250336,0.01505633258138983,1.065501768306091
28,frozenset({'root vegetables'}),frozenset({'other vegetables'}),0.23063109286813752,0.3766033863519754,0.09415084658799384,0.4082313681868743,1.0839822024471635,0.007294396015796345,1.0534465332134855
29,frozenset({'other vegetables'}),frozenset({'root vegetables'}),0.3766033863519754,0.23063109286813752,0.09415084658799384,0.25,1.0839822024471635,0.007294396015796345,1.02582520950915
30,frozenset({'sausage'}),frozenset({'other vegetables'}),0.2060030785017958,0.3766033863519754,0.09286813750641354,0.4508094645080946,1.1970403900902948,0.015286680543705425,1.1351190039894872
31,frozenset({'other vegetables'}),frozenset({'sausage'}),0.3766033863519754,0.2060030785017958,0.09286813750641354,0.24659400544959126,1.1970403900902946,0.015286680543705425,1.053876564881884
32,frozenset({'shopping bags'}),frozenset({'other vegetables'}),0.16829143150333503,0.3766033863519754,0.07311441765007697,0.4344512195121952,1.1536041237455972,0.009735294651899484,1.102286195560928
33,frozenset({'other vegetables'}),frozenset({'shopping bags'}),0.3766033863519754,0.16829143150333503,0.07311441765007697,0.194141689373297,1.1536041237455972,0.009735294651899484,1.0320779193179241
34,frozenset({'soda'}),frozenset({'other vegetables'}),0.3134940995382247,0.3766033863519754,0.1241662390969728,0.3960720130932897,1.0516953045215554,0.00610329960951414,1.032236669211228
35,frozenset({'other vegetables'}),frozenset({'soda'}),0.3766033863519754,0.3134940995382247,0.1241662390969728,0.329700272479564,1.0516953045215554,0.00610329960951414,1.024177501908421
36,frozenset({'tropical fruit'}),frozenset({'other vegetables'}),0.2337095946639302,0.3766033863519754,0.09132888660851719,0.39077936333699237,1.037641660958853,0.003313061835133524,1.0232690360961272
